time,time_local,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2021-01-30 23:00:00,2021-01-31 00:00:00,-5.9,-5.9,100,0,,130,2,5,1006.2,0,5
2021-01-31 00:00:00,2021-01-31 01:00:00,-6.9,-6.9,100,0,60,170,5,5,1006.4,0,5
2021-01-31 01:00:00,2021-01-31 02:00:00,-7.9,-7.9,100,0,,220,8,11,1006.6,0,5
2021-01-31 02:00:00,2021-01-31 03:00:00,-5.9,-5.9,100,0,,240,5,8,1006.4,0,5
2021-01-31 03:00:00,2021-01-31 04:00:00,-5.9,-6.8,93,0,,170,4,6,1006.5,0,5
2021-01-31 04:00:00,2021-01-31 05:00:00,-6.9,-6.9,100,0,,230,5,6,1006.8,0,6
2021-01-31 05:00:00,2021-01-31 06:00:00,-6.9,-6.9,100,0,,210,5,8,1006.6,0,6
2021-01-31 06:00:00,2021-01-31 07:00:00,-6.9,-6.9,100,0,60,200,8,9,1007.1,0,6
2021-01-31 07:00:00,2021-01-31 08:00:00,-6.9,-7.8,93,0,,180,8,8,1007.4,0,6
2021-01-31 08:00:00,2021-01-31 09:00:00,-6.9,-6.9,100,0,,180,5,9,1007.6,0,6
2021-01-31 09:00:00,2021-01-31 10:00:00,-5.9,-6.8,93,0,,200,4,9,1007.8,0,6
2021-01-31 10:00:00,2021-01-31 11:00:00,-4.9,-5.9,93,0,,180,2,5,1007.8,14,6
2021-01-31 11:00:00,2021-01-31 12:00:00,-2.9,-3.9,93,0,,180,2,4,1007.8,60,1
2021-01-31 12:00:00,2021-01-31 13:00:00,-1.9,-2.9,93,0,60,180,4,5,1007.4,60,1
2021-01-31 13:00:00,2021-01-31 14:00:00,-1.9,-2.9,93,0,,180,8,11,1006.9,60,1
2021-01-31 14:00:00,2021-01-31 15:00:00,-1.9,-3.9,86,0,,190,4,9,1006.4,60,1
2021-01-31 15:00:00,2021-01-31 16:00:00,-1.9,-3.9,86,0,,250,2,8,1005.7,60,1
2021-01-31 16:00:00,2021-01-31 17:00:00,-2.9,-4.9,86,0,,180,5,9,1005.6,19,3
2021-01-31 17:00:00,2021-01-31 18:00:00,-3.9,-5.9,86,0,,190,9,11,1005.5,0,2
2021-01-31 18:00:00,2021-01-31 19:00:00,-4.9,-4.9,100,0,40,160,8,11,1005,0,2
2021-01-31 19:00:00,2021-01-31 20:00:00,-5.9,-6.8,93,0,,140,5,9,1004.7,0,5
2021-01-31 20:00:00,2021-01-31 21:00:00,-6.9,-7.8,93,0,,120,5,11,1004.5,0,5
2021-01-31 21:00:00,2021-01-31 22:00:00,-6.9,-7.8,93,0,,110,8,9,1004,0,5
2021-01-31 22:00:00,2021-01-31 23:00:00,-7.9,-8.8,93,0,,100,5,9,1003.8,0,3
2021-01-31 23:00:00,2021-02-01 00:00:00,-7.9,-8.8,93,0,,90,5,8,1003.5,0,3
2021-02-01 00:00:00,2021-02-01 01:00:00,-8.9,-10,92,0,40,90,9,9,1003.2,0,3
2021-02-01 01:00:00,2021-02-01 02:00:00,-9.9,-11,92,0,,90,11,13,1002.7,0,3
2021-02-01 02:00:00,2021-02-01 03:00:00,-9.9,-11,92,0,,70,8,11,1002.1,0,3
2021-02-01 03:00:00,2021-02-01 04:00:00,-8.9,-11,85,0,,100,8,11,1001.9,0,3
2021-02-01 04:00:00,2021-02-01 05:00:00,-9.9,-11,92,0,,80,9,11,1001.1,0,3
2021-02-01 05:00:00,2021-02-01 06:00:00,-9.9,-11,92,0,,90,11,17,1000.9,0,3
2021-02-01 06:00:00,2021-02-01 07:00:00,-8.9,-11,85,0,40,100,9,15,1000.6,0,4
2021-02-01 07:00:00,2021-02-01 08:00:00,-7.9,-9.8,86,0,,100,13,17,1000.9,0,4
2021-02-01 08:00:00,2021-02-01 09:00:00,-6.9,-9.9,79,0,,130,13,18,1000.7,0,4
2021-02-01 09:00:00,2021-02-01 10:00:00,-5.9,-9,79,0,,110,17,26,1000.5,10,4
2021-02-01 10:00:00,2021-02-01 11:00:00,-3.9,-8.9,68,0,,100,21,30,1000.2,56,3
2021-02-01 11:00:00,2021-02-01 12:00:00,-1.9,-7.8,64,0,,100,21,32,999.8,60,2
2021-02-01 12:00:00,2021-02-01 13:00:00,-0.9,-7.9,59,0,40,110,22,33,999.3,59,3
2021-02-01 13:00:00,2021-02-01 14:00:00,-0.9,-7.9,59,0,,120,21,35,999.2,11,3
2021-02-01 14:00:00,2021-02-01 15:00:00,0.1,-7.9,55,0,,110,21,31,998.7,53,3
2021-02-01 15:00:00,2021-02-01 16:00:00,-0.9,-7.9,59,0,,110,17,26,998.6,21,4
2021-02-01 16:00:00,2021-02-01 17:00:00,-0.9,-6.9,64,0,,120,9,26,998.7,0,4
2021-02-01 17:00:00,2021-02-01 18:00:00,-0.9,-5.9,69,0,,100,9,15,998.9,0,14
2021-02-01 18:00:00,2021-02-01 19:00:00,0.1,-5.9,64,0,40,120,11,18,999.4,0,4
2021-02-01 19:00:00,2021-02-01 20:00:00,-0.9,-5.9,69,0,,120,11,17,999.8,0,4
2021-02-01 20:00:00,2021-02-01 21:00:00,-0.9,-5.9,69,0,,120,11,21,999.8,0,4
2021-02-01 21:00:00,2021-02-01 22:00:00,-0.9,-5.9,69,0,,130,13,18,1000,0,4
2021-02-01 22:00:00,2021-02-01 23:00:00,-0.9,-5.9,69,0,,130,13,18,1000,0,4
2021-02-01 23:00:00,2021-02-02 00:00:00,-0.9,-4.9,74,0,,140,9,17,1000.1,0,4
2021-02-02 00:00:00,2021-02-02 01:00:00,-0.9,-4.9,74,0,40,130,8,15,1000.5,0,4
2021-02-02 01:00:00,2021-02-02 02:00:00,-0.9,-3.9,80,0,,150,11,15,1000.6,0,4
2021-02-02 02:00:00,2021-02-02 03:00:00,-0.9,-3.9,80,0,,200,8,13,1001.1,0,4
2021-02-02 03:00:00,2021-02-02 04:00:00,-0.9,-1.9,93,0,,190,8,13,1001.1,0,4
2021-02-02 04:00:00,2021-02-02 05:00:00,-0.9,-0.9,100,0,,240,9,13,1001.5,0,4
2021-02-02 05:00:00,2021-02-02 06:00:00,0.1,0.1,100,0,,250,13,17,1001.6,0,4
2021-02-02 06:00:00,2021-02-02 07:00:00,0.1,0.1,100,0,40,250,17,22,1002.3,0,4
2021-02-02 07:00:00,2021-02-02 08:00:00,1.1,0.1,93,0,,260,17,24,1002.9,0,14
2021-02-02 08:00:00,2021-02-02 09:00:00,1.1,0.1,93,0,,250,15,18,1003.6,0,14
2021-02-02 09:00:00,2021-02-02 10:00:00,1.1,0.1,93,0,,260,17,24,1004,0,4
2021-02-02 10:00:00,2021-02-02 11:00:00,1.1,0.1,93,0,,270,15,22,1004,2,4
2021-02-02 11:00:00,2021-02-02 12:00:00,1.1,-0.8,87,0,,270,13,23,1004.1,5,4
2021-02-02 12:00:00,2021-02-02 13:00:00,2.1,0.2,87,0,40,250,9,15,1003.8,0,4
2021-02-02 13:00:00,2021-02-02 14:00:00,2.1,0.2,87,0,,210,8,13,1003.3,2,4
2021-02-02 14:00:00,2021-02-02 15:00:00,2.1,0.2,87,0,,180,9,15,1002.8,0,4
2021-02-02 15:00:00,2021-02-02 16:00:00,2.1,0.2,87,0,,160,5,11,1002.5,0,4
2021-02-02 16:00:00,2021-02-02 17:00:00,2.1,1.1,93,0.1,,90,5,9,1002.3,0,7
2021-02-02 17:00:00,2021-02-02 18:00:00,1.1,1.1,100,0.4,,80,8,10,1002.1,0,7
2021-02-02 18:00:00,2021-02-02 19:00:00,1.1,1.1,100,0,20,70,11,15,1002,0,7
2021-02-02 19:00:00,2021-02-02 20:00:00,1.1,1.1,100,0.2,,80,11,15,1001.6,0,7
2021-02-02 20:00:00,2021-02-02 21:00:00,1.1,1.1,100,0.1,,70,13,17,1001.1,0,7
2021-02-02 21:00:00,2021-02-02 22:00:00,2.1,1.1,93,0,,90,9,17,1001,0,4
2021-02-02 22:00:00,2021-02-02 23:00:00,2.1,1.1,93,0.2,,80,9,13,1000.7,0,7
2021-02-02 23:00:00,2021-02-03 00:00:00,2.1,1.1,93,0,,70,9,11,1001,0,4
2021-02-03 00:00:00,2021-02-03 01:00:00,1.1,1.1,100,0,0,80,5,11,1001.2,0,4
2021-02-03 01:00:00,2021-02-03 02:00:00,1.1,1.1,100,0,,60,9,11,1001.3,0,4
2021-02-03 02:00:00,2021-02-03 03:00:00,1.1,1.1,100,0,,70,8,9,1001.4,0,5
