time,time_local,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2021-03-06 23:00:00,2021-03-07 00:00:00,3.1,0.2,81,0,,260,17,24,1027.4,0,4
2021-03-07 00:00:00,2021-03-07 01:00:00,3.1,0.2,81,0,0,260,15,25,1026.9,0,4
2021-03-07 01:00:00,2021-03-07 02:00:00,3.1,0.2,81,0,,260,17,28,1026.3,0,4
2021-03-07 02:00:00,2021-03-07 03:00:00,3.1,0.2,81,0,,260,17,23,1025.4,0,4
2021-03-07 03:00:00,2021-03-07 04:00:00,3.1,-0.9,75,0,,290,18,31,1024.9,0,4
2021-03-07 04:00:00,2021-03-07 05:00:00,2.1,-1.9,75,0,,270,21,38,1024.5,0,4
2021-03-07 05:00:00,2021-03-07 06:00:00,2.1,-1.9,75,0,,270,22,35,1024.3,0,4
2021-03-07 06:00:00,2021-03-07 07:00:00,2.1,-1.9,75,0,0,270,22,33,1023.8,0,4
2021-03-07 07:00:00,2021-03-07 08:00:00,2.1,-2.8,70,0,,270,26,38,1023.5,0,4
2021-03-07 08:00:00,2021-03-07 09:00:00,2.1,-2.8,70,0,,280,26,41,1023.4,0,4
2021-03-07 09:00:00,2021-03-07 10:00:00,3.1,-2.8,65,0,,260,26,43,1023,0,4
2021-03-07 10:00:00,2021-03-07 11:00:00,3.1,-2.8,65,0,,270,28,43,1022.6,0,4
2021-03-07 11:00:00,2021-03-07 12:00:00,3.1,-2.8,65,0,,280,28,41,1022.4,0,4
2021-03-07 12:00:00,2021-03-07 13:00:00,4.1,-3,60,0,0,280,28,45,1021.9,0,4
2021-03-07 13:00:00,2021-03-07 14:00:00,3.1,-2.8,65,0,,280,32,44,1021.2,0,4
2021-03-07 14:00:00,2021-03-07 15:00:00,4.1,-3,60,0,,280,30,42,1020.4,0,4
2021-03-07 15:00:00,2021-03-07 16:00:00,4.1,-3,60,0,,260,24,42,1019.6,0,4
2021-03-07 16:00:00,2021-03-07 17:00:00,4.1,-3,60,0,,250,22,36,1019,0,4
2021-03-07 17:00:00,2021-03-07 18:00:00,4.1,-3,60,0,,260,21,28,1018.8,0,4
2021-03-07 18:00:00,2021-03-07 19:00:00,3.1,-2.8,65,0,0,250,21,28,1018.8,0,4
2021-03-07 19:00:00,2021-03-07 20:00:00,3.1,-1.8,70,0,,260,18,27,1018.7,0,4
2021-03-07 20:00:00,2021-03-07 21:00:00,3.1,-0.9,75,0,,260,21,32,1018.6,0,4
2021-03-07 21:00:00,2021-03-07 22:00:00,3.1,-0.9,75,0,,270,18,31,1018.6,0,4
2021-03-07 22:00:00,2021-03-07 23:00:00,3.1,1.1,87,0,,290,17,30,1018.9,0,7
2021-03-07 23:00:00,2021-03-08 00:00:00,2.1,1.1,93,0.1,,290,15,26,1018.9,0,4
2021-03-08 00:00:00,2021-03-08 01:00:00,2.1,1.1,93,0,0,300,9,18,1018.9,0,4
2021-03-08 01:00:00,2021-03-08 02:00:00,2.1,1.1,93,0,,330,9,15,1019.2,0,4
2021-03-08 02:00:00,2021-03-08 03:00:00,2.1,0.2,87,0,,340,11,15,1019.2,0,4
2021-03-08 03:00:00,2021-03-08 04:00:00,1.1,-0.8,87,0,,360,17,24,1019.5,0,3
2021-03-08 04:00:00,2021-03-08 05:00:00,0.1,-2,86,0,,350,9,21,1020,0,1
2021-03-08 05:00:00,2021-03-08 06:00:00,-0.9,-1.9,93,0,,350,8,15,1020.7,0,1
2021-03-08 06:00:00,2021-03-08 07:00:00,-1.9,-2.9,93,0,0,350,5,9,1021.3,0,1
2021-03-08 07:00:00,2021-03-08 08:00:00,0.1,-2,86,0,,360,9,13,1022.1,40,1
2021-03-08 08:00:00,2021-03-08 09:00:00,2.1,-2.8,70,0,,10,9,13,1022.8,60,1
2021-03-08 09:00:00,2021-03-08 10:00:00,3.1,-3.9,60,0,,20,9,17,1023,60,1
2021-03-08 10:00:00,2021-03-08 11:00:00,4.1,-6.8,45,0,,10,15,24,1023.3,60,1
2021-03-08 11:00:00,2021-03-08 12:00:00,5.1,-9.9,33,0,,20,13,26,1023.4,60,1
2021-03-08 12:00:00,2021-03-08 13:00:00,5.1,-8.8,36,0,0,30,9,24,1023.3,60,1
2021-03-08 13:00:00,2021-03-08 14:00:00,6.1,-9,33,0,,30,4,23,1023.1,60,1
2021-03-08 14:00:00,2021-03-08 15:00:00,6.1,-9.8,31,0,,70,8,20,1022.9,60,2
2021-03-08 15:00:00,2021-03-08 16:00:00,6.1,-9.8,31,0,,330,5,18,1022.6,60,1
2021-03-08 16:00:00,2021-03-08 17:00:00,6.1,-9,33,0,,10,8,17,1022.4,60,2
2021-03-08 17:00:00,2021-03-08 18:00:00,4.1,-9,38,0,,330,5,8,1022.6,34,2
2021-03-08 18:00:00,2021-03-08 19:00:00,2.1,-7.8,48,0,0,120,2,8,1023.1,0,2
2021-03-08 19:00:00,2021-03-08 20:00:00,1.1,-9,47,0,,90,9,13,1023.4,0,2
2021-03-08 20:00:00,2021-03-08 21:00:00,-0.9,-7.9,59,0,,70,11,11,1023.5,0,3
2021-03-08 21:00:00,2021-03-08 22:00:00,-1.9,-7.8,64,0,,80,9,13,1023.5,0,3
2021-03-08 22:00:00,2021-03-08 23:00:00,-1.9,-7.8,64,0,,80,9,13,1023.6,0,3
2021-03-08 23:00:00,2021-03-09 00:00:00,-1.9,-7.8,64,0,,80,8,11,1023.3,0,3
2021-03-09 00:00:00,2021-03-09 01:00:00,-3.9,-7.9,74,0,0,80,8,11,1023.2,0,4
2021-03-09 01:00:00,2021-03-09 02:00:00,-3.9,-7.9,74,0,,80,5,9,1023.1,0,4
2021-03-09 02:00:00,2021-03-09 03:00:00,-2.9,-8,68,0,,100,8,9,1022.5,0,4
2021-03-09 03:00:00,2021-03-09 04:00:00,-3.9,-7.9,74,0,,90,8,11,1022.1,0,4
2021-03-09 04:00:00,2021-03-09 05:00:00,-3.9,-7.9,74,0,,90,9,11,1021.9,0,4
2021-03-09 05:00:00,2021-03-09 06:00:00,-3.9,-7.9,74,0,,100,5,9,1021.7,0,4
2021-03-09 06:00:00,2021-03-09 07:00:00,-3.9,-7.9,74,0,0,80,5,9,1021.6,0,4
2021-03-09 07:00:00,2021-03-09 08:00:00,-2.2,-6.4,73,0,,100,7,11,1021.5,13,4
2021-03-09 08:00:00,2021-03-09 09:00:00,-0.9,-6.5,66,0,,110,8,11,1021.6,60,4
2021-03-09 09:00:00,2021-03-09 10:00:00,1.8,-5.8,57,0,,100,8,13,1021.1,60,4
2021-03-09 10:00:00,2021-03-09 11:00:00,4.4,-6.5,45,0,,130,9,15,1020.9,60,3
2021-03-09 11:00:00,2021-03-09 12:00:00,5.7,-7.2,39,0,,150,9,16,1020.6,60,3
2021-03-09 12:00:00,2021-03-09 13:00:00,5.6,-8.3,36,0,0,190,10,22,1020.2,59,3
2021-03-09 13:00:00,2021-03-09 14:00:00,6.1,-8.2,35,0,,200,7,17,1019.4,60,3
2021-03-09 14:00:00,2021-03-09 15:00:00,6.7,-9.3,31,0,,180,8,18,1019,60,2
2021-03-09 15:00:00,2021-03-09 16:00:00,6.4,-10.8,28,0,,170,8,18,1018.7,60,2
2021-03-09 16:00:00,2021-03-09 17:00:00,5.9,-9.2,33,0,,180,7,17,1018.5,40,2
2021-03-09 17:00:00,2021-03-09 18:00:00,4.6,-9.6,35,0,,160,7,11,1018.8,5,2
2021-03-09 18:00:00,2021-03-09 19:00:00,1.5,-8.3,48,0,0,160,5,10,1019.4,0,3
2021-03-09 19:00:00,2021-03-09 20:00:00,0.8,-9,48,0,,120,8,11,1019.5,0,2
2021-03-09 20:00:00,2021-03-09 21:00:00,-1.1,-7.9,60,0,,110,7,13,1019.7,0,1
2021-03-09 21:00:00,2021-03-09 22:00:00,-1.5,-8.5,59,0,,70,9,13,1019.8,0,1
2021-03-09 22:00:00,2021-03-09 23:00:00,-1.5,-8.3,60,0,,80,9,11,1019.7,0,1
2021-03-09 23:00:00,2021-03-10 00:00:00,-2.7,-8.2,66,0,,80,7,13,1019.7,0,1
2021-03-10 00:00:00,2021-03-10 01:00:00,-3.5,-8.2,70,0,0,70,5,8,1020,0,1
2021-03-10 01:00:00,2021-03-10 02:00:00,-3.8,-8.3,71,0,,60,8,9,1020,0,1
2021-03-10 02:00:00,2021-03-10 03:00:00,-4.3,-8.4,73,0,,70,8,11,1019.8,0,1
2021-03-10 03:00:00,2021-03-10 04:00:00,-5.1,-9.2,73,0,,60,9,9,1019.8,0,1
2021-03-10 04:00:00,2021-03-10 05:00:00,-3.9,-8.4,71,0,,80,5,9,1019.8,0,1
2021-03-10 05:00:00,2021-03-10 06:00:00,-4.9,-8.1,78,0,,70,6,8,1020,0,1
2021-03-10 06:00:00,2021-03-10 07:00:00,-4.7,-7.8,79,0,0,120,3,5,1020.4,0,2
2021-03-10 07:00:00,2021-03-10 08:00:00,-3.1,-7.1,74,0,,80,5,9,1020.7,45,1
2021-03-10 08:00:00,2021-03-10 09:00:00,-0.2,-6,65,0,,90,8,11,1020.9,60,1
2021-03-10 09:00:00,2021-03-10 10:00:00,3,-6.7,49,0,,100,8,15,1021.1,60,2
2021-03-10 10:00:00,2021-03-10 11:00:00,5.8,-7.4,38,0,,120,10,16,1020.7,60,3
2021-03-10 11:00:00,2021-03-10 12:00:00,7.1,-8.5,32,0,,140,12,21,1020.7,60,3
2021-03-10 12:00:00,2021-03-10 13:00:00,7.6,-10.2,27,0,0,170,13,22,1020,60,3
2021-03-10 13:00:00,2021-03-10 14:00:00,7.6,-9.8,28,0,,180,13,25,1019.7,60,3
2021-03-10 14:00:00,2021-03-10 15:00:00,8.5,-9.4,27,0,,170,13,36,1019,60,3
2021-03-10 15:00:00,2021-03-10 16:00:00,8,-9,29,0,,170,14,23,1018.7,60,3
2021-03-10 16:00:00,2021-03-10 17:00:00,6.9,-6.8,37,0,,160,15,24,1018.2,56,3
2021-03-10 17:00:00,2021-03-10 18:00:00,5.1,-5.6,46,0,,160,12,21,1018,3,3
2021-03-10 18:00:00,2021-03-10 19:00:00,4.5,-6.7,44,0,0,140,10,21,1018.2,0,2
2021-03-10 19:00:00,2021-03-10 20:00:00,2.8,-8.5,43,0,,130,12,17,1017.6,0,2
2021-03-10 20:00:00,2021-03-10 21:00:00,2.2,-8.2,46,0,,140,12,17,1017,0,3
2021-03-10 21:00:00,2021-03-10 22:00:00,1.5,-8.6,47,0,,130,12,17,1016.1,0,3
2021-03-10 22:00:00,2021-03-10 23:00:00,1.9,-6.7,53,0,,150,14,22,1014.9,0,4
2021-03-10 23:00:00,2021-03-11 00:00:00,2,-4.1,64,0,,150,18,27,1013.9,0,3
2021-03-11 00:00:00,2021-03-11 01:00:00,1.8,-3.1,70,0,0,160,19,28,1012.8,0,3
2021-03-11 01:00:00,2021-03-11 02:00:00,2.3,-2,73,0,,160,22,31,1011.6,0,4
2021-03-11 02:00:00,2021-03-11 03:00:00,2.5,-1.3,76,0,,160,23,32,1010.1,0,4
2021-03-11 03:00:00,2021-03-11 04:00:00,3,-1,75,0,,160,22,31,1008.8,0,4
2021-03-11 04:00:00,2021-03-11 05:00:00,3.3,0.2,80,0,,160,21,28,1007.6,0,7
2021-03-11 05:00:00,2021-03-11 06:00:00,3.2,1.2,87,0.7,,150,23,33,1005.9,0,7
2021-03-11 06:00:00,2021-03-11 07:00:00,3.6,1.8,88,0.2,0,150,25,38,1004.4,0,7
2021-03-11 07:00:00,2021-03-11 08:00:00,4,2.5,90,0.7,,160,28,46,1002.9,0,7
2021-03-11 08:00:00,2021-03-11 09:00:00,3.9,2.9,93,0.2,,170,31,43,1002.1,0,7
2021-03-11 09:00:00,2021-03-11 10:00:00,4.7,3.7,93,0.2,,170,25,39,1001.5,0,7
2021-03-11 10:00:00,2021-03-11 11:00:00,5.4,4.5,94,1.2,,190,25,36,1000.8,0,8
2021-03-11 11:00:00,2021-03-11 12:00:00,5.9,4.7,92,1,,190,25,33,999.9,0,7
2021-03-11 12:00:00,2021-03-11 13:00:00,8.7,6.1,84,0.3,0,190,28,46,998.1,17,3
2021-03-11 13:00:00,2021-03-11 14:00:00,11.3,7,75,0,,200,36,60,996.8,52,3
2021-03-11 14:00:00,2021-03-11 15:00:00,10.3,6.1,75,0,,200,34,65,995.9,0,4
2021-03-11 15:00:00,2021-03-11 16:00:00,11.8,6.5,70,0,,200,31,46,995,1,3
2021-03-11 16:00:00,2021-03-11 17:00:00,11.3,6.4,72,0,,210,36,53,993.6,58,2
2021-03-11 17:00:00,2021-03-11 18:00:00,10.4,5.4,71,0.4,,220,34,85,994.2,22,23
2021-03-11 18:00:00,2021-03-11 19:00:00,8.9,5.8,81,0,0,250,19,37,995.2,0,3
2021-03-11 19:00:00,2021-03-11 20:00:00,9.2,4.6,73,0,,270,26,51,996.1,0,3
2021-03-11 20:00:00,2021-03-11 21:00:00,8.1,4.9,80,0,,280,31,53,997.2,0,4
2021-03-11 21:00:00,2021-03-11 22:00:00,6.6,3.7,82,0,,260,30,47,997.6,0,2
2021-03-11 22:00:00,2021-03-11 23:00:00,6.2,3.7,84,0,,240,20,31,997.8,0,3
2021-03-11 23:00:00,2021-03-12 00:00:00,6.3,3.6,83,0,,240,19,31,998.3,0,4
2021-03-12 00:00:00,2021-03-12 01:00:00,6.3,3.5,82,0,0,240,22,33,998.4,0,2
2021-03-12 01:00:00,2021-03-12 02:00:00,6,3,81,0,,250,24,35,998.9,0,2
2021-03-12 02:00:00,2021-03-12 03:00:00,6.1,3.3,82,0,,260,17,30,999.3,0,7
2021-03-12 03:00:00,2021-03-12 04:00:00,5.4,2.9,84,1.6,,260,23,49,999.5,0,4
2021-03-12 04:00:00,2021-03-12 05:00:00,4.9,2.9,87,0,,250,22,31,1000.4,0,4
2021-03-12 05:00:00,2021-03-12 06:00:00,5.2,3.1,86,0,,250,25,42,1001.3,0,4
2021-03-12 06:00:00,2021-03-12 07:00:00,4.8,3.1,89,0,0,250,29,44,1002.2,0,4
2021-03-12 07:00:00,2021-03-12 08:00:00,4.9,3.1,88,0,,240,30,46,1003.5,0,4
2021-03-12 08:00:00,2021-03-12 09:00:00,5.8,3.3,84,0,,240,30,48,1004.4,1,4
2021-03-12 09:00:00,2021-03-12 10:00:00,6.4,3,79,0,,250,30,52,1005,2,4
2021-03-12 10:00:00,2021-03-12 11:00:00,7.5,2.8,72,0,,250,31,49,1005.5,5,4
2021-03-12 11:00:00,2021-03-12 12:00:00,8.9,2.5,64,0,,260,36,53,1005.8,12,3
2021-03-12 12:00:00,2021-03-12 13:00:00,10,1.1,54,0,0,250,35,55,1005.8,41,3
2021-03-12 13:00:00,2021-03-12 14:00:00,10.6,0,48,0,,250,34,53,1005.5,16,3
2021-03-12 14:00:00,2021-03-12 15:00:00,9.9,-0.6,48,0,,250,35,51,1005.2,23,3
2021-03-12 15:00:00,2021-03-12 16:00:00,10.1,-0.7,47,0,,240,36,53,1005,28,4
2021-03-12 16:00:00,2021-03-12 17:00:00,10,-0.8,47,0,,240,32,53,1004.5,31,3
2021-03-12 17:00:00,2021-03-12 18:00:00,8.9,-0.7,51,0,,220,28,40,1004.1,35,4
2021-03-12 18:00:00,2021-03-12 19:00:00,7.3,0,60,0,0,210,23,35,1004,0,3
2021-03-12 19:00:00,2021-03-12 20:00:00,7.1,0.3,62,0,,210,25,37,1003.4,0,3
2021-03-12 20:00:00,2021-03-12 21:00:00,7.5,0.2,60,0,,190,23,37,1002.6,0,4
2021-03-12 21:00:00,2021-03-12 22:00:00,7.7,0,58,0,,210,26,41,1002.2,0,4
2021-03-12 22:00:00,2021-03-12 23:00:00,8.1,0.1,57,0,,210,30,50,1001.6,0,4
2021-03-12 23:00:00,2021-03-13 00:00:00,5,2.7,85,0,,250,32,55,1002.3,0,7
2021-03-13 00:00:00,2021-03-13 01:00:00,4.5,2.8,89,0.2,0,240,24,50,1001.9,0,4
2021-03-13 01:00:00,2021-03-13 02:00:00,5,2.5,84,0,,220,23,38,1001.7,0,4
2021-03-13 02:00:00,2021-03-13 03:00:00,5,2.5,84,0,,230,30,41,1001.5,0,4
2021-03-13 03:00:00,2021-03-13 04:00:00,5,2.2,82,0,,230,25,35,1001.5,0,4
2021-03-13 04:00:00,2021-03-13 05:00:00,5,1.7,79,0,,220,24,35,1001.4,0,4
2021-03-13 05:00:00,2021-03-13 06:00:00,4.2,1.4,82,0,,220,24,36,1001.3,0,2
2021-03-13 06:00:00,2021-03-13 07:00:00,4.8,1.8,81,0,0,210,20,28,1000.7,0,3
2021-03-13 07:00:00,2021-03-13 08:00:00,6.1,2.4,77,0,,210,26,39,1000.1,0,4
