time,time_local,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2021-01-09 23:00:00,2021-01-10 00:00:00,2.1,1.1,93,0,,290,13,18,1023.2,0,4
2021-01-10 00:00:00,2021-01-10 01:00:00,2.1,1.1,93,0,0,280,13,17,1023.3,0,4
2021-01-10 01:00:00,2021-01-10 02:00:00,2.1,1.1,93,0,,290,11,17,1023.5,0,4
2021-01-10 02:00:00,2021-01-10 03:00:00,2.1,1.1,93,0,,280,11,16,1023.9,0,4
2021-01-10 03:00:00,2021-01-10 04:00:00,2.1,1.1,93,0,,290,11,15,1024,0,4
2021-01-10 04:00:00,2021-01-10 05:00:00,1.1,0.1,93,0,,280,8,15,1024.1,0,4
2021-01-10 05:00:00,2021-01-10 06:00:00,1.1,-0.8,87,0,,280,11,18,1024,0,4
2021-01-10 06:00:00,2021-01-10 07:00:00,1.1,0.1,93,0,0,260,11,17,1024.1,0,4
2021-01-10 07:00:00,2021-01-10 08:00:00,1.1,-0.8,87,0,,260,9,17,1024.3,0,4
2021-01-10 08:00:00,2021-01-10 09:00:00,1.1,-0.8,87,0,,260,13,17,1024.8,0,4
2021-01-10 09:00:00,2021-01-10 10:00:00,0.1,-0.9,93,0,,240,11,22,1025.2,0,4
2021-01-10 10:00:00,2021-01-10 11:00:00,0.1,-0.9,93,0,,260,13,21,1025.3,0,4
2021-01-10 11:00:00,2021-01-10 12:00:00,1.1,-2,80,0,,240,15,22,1025.1,0,4
2021-01-10 12:00:00,2021-01-10 13:00:00,1.1,-2,80,0,0,240,11,22,1024.6,10,3
2021-01-10 13:00:00,2021-01-10 14:00:00,1.1,-2,80,0,,240,13,20,1024.1,29,3
2021-01-10 14:00:00,2021-01-10 15:00:00,1.1,-2,80,0,,230,17,22,1024,14,4
2021-01-10 15:00:00,2021-01-10 16:00:00,0.1,-2.9,80,0,,230,13,24,1024,0,4
2021-01-10 16:00:00,2021-01-10 17:00:00,1.1,-2,80,0,,220,8,17,1024,0,4
2021-01-10 17:00:00,2021-01-10 18:00:00,0.1,-2,86,0,,180,9,15,1023.8,0,4
2021-01-10 18:00:00,2021-01-10 19:00:00,0.1,-2,86,0,0,190,17,22,1023.5,0,3
2021-01-10 19:00:00,2021-01-10 20:00:00,-0.9,-1.9,93,0,,200,18,24,1023.4,0,3
2021-01-10 20:00:00,2021-01-10 21:00:00,-0.9,-1.9,93,0,,210,18,24,1023.1,0,4
2021-01-10 21:00:00,2021-01-10 22:00:00,-0.9,-1.9,93,0,,200,13,24,1022.6,0,4
2021-01-10 22:00:00,2021-01-10 23:00:00,-0.9,-1.9,93,0,,200,15,21,1022.3,0,3
2021-01-10 23:00:00,2021-01-11 00:00:00,-0.9,-1.9,93,0,,220,17,24,1021.9,0,4
2021-01-11 00:00:00,2021-01-11 01:00:00,-0.9,-2.9,86,0,0,210,17,27,1021.3,0,3
2021-01-11 01:00:00,2021-01-11 02:00:00,-0.9,-2.9,86,0,,210,15,21,1021.1,0,4
2021-01-11 02:00:00,2021-01-11 03:00:00,0.1,-2.9,80,0,,220,18,25,1021,0,4
2021-01-11 03:00:00,2021-01-11 04:00:00,0.1,-2.9,80,0,,220,22,30,1020.6,0,4
2021-01-11 04:00:00,2021-01-11 05:00:00,0.1,-2,86,0,,220,22,31,1020.2,0,14
2021-01-11 05:00:00,2021-01-11 06:00:00,-0.9,-1.9,93,0.1,,210,21,26,1020,0,14
2021-01-11 06:00:00,2021-01-11 07:00:00,-0.9,-1.9,93,0,10,220,18,26,1019.8,0,14
2021-01-11 07:00:00,2021-01-11 08:00:00,-0.9,-1.9,93,0,,200,13,21,1019.6,0,4
2021-01-11 08:00:00,2021-01-11 09:00:00,0.1,-2,86,0,,210,17,24,1019.3,0,4
2021-01-11 09:00:00,2021-01-11 10:00:00,0.1,-2.9,80,0,,220,17,28,1019.3,0,4
2021-01-11 10:00:00,2021-01-11 11:00:00,0.1,-2.9,80,0,,220,17,25,1019.4,0,4
2021-01-11 11:00:00,2021-01-11 12:00:00,1.1,-2,80,0,,210,18,26,1018.7,0,4
2021-01-11 12:00:00,2021-01-11 13:00:00,1.1,-2,80,0,0,210,18,28,1018,0,14
2021-01-11 13:00:00,2021-01-11 14:00:00,1.1,-2,80,0,,210,21,30,1017,0,14
2021-01-11 14:00:00,2021-01-11 15:00:00,1.1,-2,80,0,,220,26,35,1016.8,0,4
2021-01-11 15:00:00,2021-01-11 16:00:00,1.1,-2.8,75,0,,210,22,32,1016.2,0,4
2021-01-11 16:00:00,2021-01-11 17:00:00,0.1,-2.9,80,0,,210,22,35,1015.5,0,4
2021-01-11 17:00:00,2021-01-11 18:00:00,1.1,-2.8,75,0,,210,24,35,1014.7,0,4
2021-01-11 18:00:00,2021-01-11 19:00:00,1.1,-2.8,75,0,0,220,26,40,1014.2,0,4
2021-01-11 19:00:00,2021-01-11 20:00:00,1.1,-2.8,75,0,,210,28,39,1013.5,0,4
2021-01-11 20:00:00,2021-01-11 21:00:00,1.1,-2.8,75,0,,220,30,48,1012.7,0,4
2021-01-11 21:00:00,2021-01-11 22:00:00,1.1,-2.8,75,0,,210,26,38,1012.1,0,4
2021-01-11 22:00:00,2021-01-11 23:00:00,1.1,-2.8,75,0,,220,30,44,1011.4,0,4
2021-01-11 23:00:00,2021-01-12 00:00:00,1.1,-2.8,75,0,,210,32,44,1010.4,0,4
2021-01-12 00:00:00,2021-01-12 01:00:00,1.1,-2.8,75,0,0,210,34,48,1009.3,0,4
2021-01-12 01:00:00,2021-01-12 02:00:00,1.1,-2.8,75,0,,210,34,47,1008.5,0,4
2021-01-12 02:00:00,2021-01-12 03:00:00,1.1,-2.8,75,0,,210,34,51,1007.4,0,4
2021-01-12 03:00:00,2021-01-12 04:00:00,0.1,-0.9,93,0.2,,210,30,44,1006.4,0,15
2021-01-12 04:00:00,2021-01-12 05:00:00,1.1,0.1,93,0.5,,210,30,44,1005.5,0,14
2021-01-12 05:00:00,2021-01-12 06:00:00,1.1,0.1,93,0.3,,220,32,44,1004.5,0,14
2021-01-12 06:00:00,2021-01-12 07:00:00,1.1,0.1,93,0.4,20,210,32,44,1003.9,0,14
2021-01-12 07:00:00,2021-01-12 08:00:00,1.1,0.1,93,0.2,,220,28,42,1003.2,0,14
2021-01-12 08:00:00,2021-01-12 09:00:00,1.1,0.1,93,0.1,,220,32,41,1002.7,0,12
2021-01-12 09:00:00,2021-01-12 10:00:00,1.1,0.1,93,0.3,,220,26,41,1002.3,0,12
2021-01-12 10:00:00,2021-01-12 11:00:00,1.1,0.1,93,0.2,,220,26,37,1001.9,0,12
2021-01-12 11:00:00,2021-01-12 12:00:00,1.1,1.1,100,0.6,,230,22,35,1001.4,0,12
2021-01-12 12:00:00,2021-01-12 13:00:00,2.1,1.1,93,0.5,0,230,22,33,1000.6,0,7
2021-01-12 13:00:00,2021-01-12 14:00:00,2.1,2.1,100,0,,240,18,27,1000.4,0,7
2021-01-12 14:00:00,2021-01-12 15:00:00,3.1,2.1,93,0.1,,250,17,26,1000.6,0,7
2021-01-12 15:00:00,2021-01-12 16:00:00,3.1,2.1,93,0.1,,290,17,24,1001.3,0,7
2021-01-12 16:00:00,2021-01-12 17:00:00,3.1,2.1,93,0,,300,18,35,1002.3,0,4
2021-01-12 17:00:00,2021-01-12 18:00:00,2.1,1.1,93,0.1,,300,21,35,1003,0,3
2021-01-12 18:00:00,2021-01-12 19:00:00,1.1,0.1,93,0,0,260,15,27,1003.5,0,2
2021-01-12 19:00:00,2021-01-12 20:00:00,1.1,0.1,93,0,,240,18,26,1003.7,0,3
2021-01-12 20:00:00,2021-01-12 21:00:00,1.1,0.1,93,0.1,,260,22,35,1004,0,12
2021-01-12 21:00:00,2021-01-12 22:00:00,2.1,0.2,87,0.4,,300,26,43,1005.2,0,4
2021-01-12 22:00:00,2021-01-12 23:00:00,1.1,0.1,93,0,,290,21,46,1006.3,0,4
2021-01-12 23:00:00,2021-01-13 00:00:00,1.1,-0.8,87,0,,280,21,37,1007,0,4
2021-01-13 00:00:00,2021-01-13 01:00:00,1.1,-0.8,87,0,0,270,24,35,1007.3,0,3
2021-01-13 01:00:00,2021-01-13 02:00:00,0.1,-0.9,93,0,,260,21,31,1007.6,0,2
2021-01-13 02:00:00,2021-01-13 03:00:00,1.1,-0.8,87,0,,270,28,37,1008,0,3
2021-01-13 03:00:00,2021-01-13 04:00:00,1.1,-0.8,87,0,,270,26,41,1008.2,0,4
2021-01-13 04:00:00,2021-01-13 05:00:00,1.1,-0.8,87,0,,280,26,46,1008.1,0,3
2021-01-13 05:00:00,2021-01-13 06:00:00,1.1,-0.8,87,0,,270,28,39,1008.3,0,4
2021-01-13 06:00:00,2021-01-13 07:00:00,1.1,-0.8,87,0,0,260,22,41,1008.2,0,4
2021-01-13 07:00:00,2021-01-13 08:00:00,1.1,-0.8,87,0,,270,22,34,1008.6,0,4
2021-01-13 08:00:00,2021-01-13 09:00:00,1.1,-0.8,87,0,,260,22,41,1008.6,0,4
2021-01-13 09:00:00,2021-01-13 10:00:00,2.1,0.2,87,0,,260,24,42,1008.6,0,14
2021-01-13 10:00:00,2021-01-13 11:00:00,2.1,0.2,87,0,,260,21,31,1008.6,0,4
2021-01-13 11:00:00,2021-01-13 12:00:00,3.1,0.2,81,0,,260,28,38,1007.9,0,4
2021-01-13 12:00:00,2021-01-13 13:00:00,3.1,0.2,81,0,0,250,28,44,1007.1,0,4
2021-01-13 13:00:00,2021-01-13 14:00:00,3.1,0.2,81,0,,250,26,44,1006.4,0,4
2021-01-13 14:00:00,2021-01-13 15:00:00,4.1,0.1,75,0,,250,30,44,1005.5,0,4
