time,time_local,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2021-01-23 23:00:00,2021-01-24 00:00:00,0.1,-0.9,93,0,,110,5,17,996.6,0,2
2021-01-24 00:00:00,2021-01-24 01:00:00,-0.9,-0.9,100,0,0,130,4,5,996.8,0,3
2021-01-24 01:00:00,2021-01-24 02:00:00,-0.9,-0.9,100,0,,130,8,9,996.6,0,4
2021-01-24 02:00:00,2021-01-24 03:00:00,0.1,0.1,100,0,,150,9,17,996.6,0,4
2021-01-24 03:00:00,2021-01-24 04:00:00,0.1,0.1,100,0,,120,4,11,996.5,0,4
2021-01-24 04:00:00,2021-01-24 05:00:00,0.1,0.1,100,0,,80,5,11,996.3,0,14
2021-01-24 05:00:00,2021-01-24 06:00:00,0.1,0.1,100,0,,70,8,9,995.9,0,14
2021-01-24 06:00:00,2021-01-24 07:00:00,0.1,0.1,100,0.1,0,100,11,14,995.9,0,14
2021-01-24 07:00:00,2021-01-24 08:00:00,0.1,0.1,100,0,,100,9,15,995.9,0,14
2021-01-24 08:00:00,2021-01-24 09:00:00,0.1,0.1,100,0.2,,100,8,13,996.1,0,14
2021-01-24 09:00:00,2021-01-24 10:00:00,1.1,0.1,93,0,,80,5,11,996.2,0,14
2021-01-24 10:00:00,2021-01-24 11:00:00,1.1,1.1,100,0,,100,9,13,996.2,0,14
2021-01-24 11:00:00,2021-01-24 12:00:00,1.1,0.1,93,0.8,,80,8,13,996.2,0,14
2021-01-24 12:00:00,2021-01-24 13:00:00,1.1,0.1,93,0.6,0,60,9,13,996.1,0,14
2021-01-24 13:00:00,2021-01-24 14:00:00,1.1,1.1,100,0,,60,11,15,996,0,4
2021-01-24 14:00:00,2021-01-24 15:00:00,2.1,1.1,93,0,,60,9,15,996.3,0,4
2021-01-24 15:00:00,2021-01-24 16:00:00,2.1,1.1,93,0,,40,8,13,996.5,0,7
2021-01-24 16:00:00,2021-01-24 17:00:00,1.1,1.1,100,0.1,,40,8,11,996.9,0,7
2021-01-24 17:00:00,2021-01-24 18:00:00,1.1,1.1,100,0,,30,8,15,997.2,0,7
