time,time_local,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2021-04-10 22:00:00,2021-04-11 00:00:00,6.9,4.9,87,0,,90,17,26,1015.3,0,7
2021-04-10 23:00:00,2021-04-11 01:00:00,6.9,4.9,87,0.1,,90,17,24,1014.6,0,7
2021-04-11 00:00:00,2021-04-11 02:00:00,6.7,5.3,91,0.4,,100,14,24,1014.1,0,7
2021-04-11 01:00:00,2021-04-11 03:00:00,6.5,5.6,94,0.7,,90,11,24,1013.4,0,7
2021-04-11 02:00:00,2021-04-11 04:00:00,6.6,5.7,94,0.5,,100,13,24,1012.8,0,7
2021-04-11 03:00:00,2021-04-11 05:00:00,6.7,5.8,94,0.2,,100,14,24,1011.8,0,7
2021-04-11 04:00:00,2021-04-11 06:00:00,6.8,5.6,92,0.2,,110,17,24,1011.4,0,7
2021-04-11 05:00:00,2021-04-11 07:00:00,6.8,5.4,91,0,,110,14,24,1011.1,0,7
2021-04-11 06:00:00,2021-04-11 08:00:00,7,5.5,90,0,,120,11,24,1011,0,7
2021-04-11 07:00:00,2021-04-11 09:00:00,8.1,5.9,86,0,,110,15,24,1010.4,0,4
2021-04-11 08:00:00,2021-04-11 10:00:00,9.9,6.1,77,0,,130,15,26,1010.3,3,4
2021-04-11 09:00:00,2021-04-11 11:00:00,13.2,6.5,64,0,,140,16,24,1009.9,34,3
2021-04-11 10:00:00,2021-04-11 12:00:00,16.2,7.7,57,0,,160,17,30,1009.5,44,3
2021-04-11 11:00:00,2021-04-11 13:00:00,17.1,8.3,56,0,,190,16,30,1009.1,3,3
2021-04-11 12:00:00,2021-04-11 14:00:00,19.5,8.2,48,0,,190,14,30,1008.9,51,3
2021-04-11 13:00:00,2021-04-11 15:00:00,20.1,7.1,43,0,,180,13,30,1008.4,57,3
2021-04-11 14:00:00,2021-04-11 16:00:00,20.2,6.2,40,0,,210,21,30,1008.3,27,3
2021-04-11 15:00:00,2021-04-11 17:00:00,20.7,7.3,42,0,,200,19,28,1008.1,35,3
2021-04-11 16:00:00,2021-04-11 18:00:00,19.4,7.5,46,0,,220,14,33,1008,6,3
2021-04-11 17:00:00,2021-04-11 19:00:00,18.1,8.1,52,0,,200,11,32,1008.1,0,3
2021-04-11 18:00:00,2021-04-11 20:00:00,17.3,8.4,56,0,,240,8,32,1008.3,0,17
2021-04-11 19:00:00,2021-04-11 21:00:00,12.7,10.8,88,0.3,,290,25,33,1010.3,0,17
2021-04-11 20:00:00,2021-04-11 22:00:00,9,7,87,0,,300,27,33,1012.1,0,7
2021-04-11 21:00:00,2021-04-11 23:00:00,7.4,5.7,89,0.4,,300,26,37,1013,0,7
2021-04-11 22:00:00,2021-04-12 00:00:00,6.5,4.7,88,0,,310,22,39,1013.9,0,18
2021-04-11 23:00:00,2021-04-12 01:00:00,5.3,3,85,0,,290,28,39,1015.4,0,7
2021-04-12 00:00:00,2021-04-12 02:00:00,5,2.9,86,0,,300,22,39,1015.9,0,7
2021-04-12 01:00:00,2021-04-12 03:00:00,4.2,1.7,84,0,,300,23,39,1016.9,0,7
2021-04-12 02:00:00,2021-04-12 04:00:00,3.7,1.9,88,0,,300,21,37,1017.9,0,7
2021-04-12 03:00:00,2021-04-12 05:00:00,3.3,2.1,92,0.1,,300,19,37,1018,0,7
2021-04-12 04:00:00,2021-04-12 06:00:00,3.6,2.4,92,0.1,,290,16,32,1018.4,0,7
2021-04-12 05:00:00,2021-04-12 07:00:00,3.9,1.9,87,0,,290,16,32,1019.4,0,7
2021-04-12 06:00:00,2021-04-12 08:00:00,4,1.4,83,0.1,,300,17,32,1020.3,0,7
2021-04-12 07:00:00,2021-04-12 09:00:00,4.2,0.5,77,0,,310,18,32,1021.2,0,7
2021-04-12 08:00:00,2021-04-12 10:00:00,4.6,0.7,76,0,,310,19,32,1021.8,0,7
2021-04-12 09:00:00,2021-04-12 11:00:00,5.5,0.9,72,0,,310,21,33,1022.6,0,7
2021-04-12 10:00:00,2021-04-12 12:00:00,6.2,0.7,68,0,,310,21,32,1022.9,1,4
2021-04-12 11:00:00,2021-04-12 13:00:00,6.8,0.2,63,0,,310,20,33,1023.3,5,4
2021-04-12 12:00:00,2021-04-12 14:00:00,6.7,-0.1,62,0,,290,22,33,1023.5,0,4
2021-04-12 13:00:00,2021-04-12 15:00:00,7.6,-0.4,57,0,,300,20,32,1023.9,3,4
2021-04-12 14:00:00,2021-04-12 16:00:00,7.7,-1.3,53,0,,290,21,32,1023.9,4,4
2021-04-12 15:00:00,2021-04-12 17:00:00,8.3,-1.2,51,0,,300,19,32,1024.3,2,4
2021-04-12 16:00:00,2021-04-12 18:00:00,7.8,-2,50,0,,290,18,30,1024.7,2,3
2021-04-12 17:00:00,2021-04-12 19:00:00,7.4,-0.8,56,0,,280,15,28,1025.2,0,3
2021-04-12 18:00:00,2021-04-12 20:00:00,5.8,-0.7,63,0,,270,11,24,1025.5,6,3
2021-04-12 19:00:00,2021-04-12 21:00:00,5,-1,65,0,,250,10,22,1026.2,0,3
2021-04-12 20:00:00,2021-04-12 22:00:00,4.3,-0.7,70,0,,270,16,20,1026.7,0,3
2021-04-12 21:00:00,2021-04-12 23:00:00,1.9,-1.7,77,0,,270,10,19,1026.9,0,2
2021-04-12 22:00:00,2021-04-13 00:00:00,1.8,-1.6,78,0,,250,11,17,1027.2,0,2
2021-04-12 23:00:00,2021-04-13 01:00:00,1.1,-1.5,83,0,,250,13,19,1027.4,0,2
2021-04-13 00:00:00,2021-04-13 02:00:00,1.3,-1.3,83,0,0,280,13,17,1027.6,0,4
2021-04-13 01:00:00,2021-04-13 03:00:00,-0.8,-2.5,88,0,,270,12,13,1027.6,0,3
