date,schedule,etips,cash,deliveries,km,hrs,earnings,net,nethrs,bonus,avg_net/hrs
1/3/21,17.30-21.30,1,6,9,"46,1",4,"42,77","46,62","11,66",,
2/3/21,17.00-21.00,2,"9,4",8,"34,6",4,40,"47,86","11,97",,
3/3/21,18.00-22.00,5,"3,6",9,"34,8",4,40,"45,15","11,29",,
4/3/21,17.00-21.00,1,"11,1",9,"36,5",4,"40,43","49,94","12,49",,
5/3/21,18.00-22.00,1,3,9,"23,9",4,"45,59","45,76","11,44",,
6/3/21,,,,,,,,,,,
7/3/21,18.30-22.30,5,"5,5",9,30,4,40,"47,05","11,76",,
8/3/21,17.00-21.00,3,"9,4",10,"18,1",4,"42,34","52,02","13,01",,
9/3/21,17.00-21.00,5,"12,7",12,"40,4",4,"47,97","62,75","15,69",,
10/3/21,17.00-21.00,"2,5",4,11,"27,6",4,"45,64","49,57","12,39",,
11/3/21,17.30-21.30,"4,5","6,9",12,"36,5",4,"49,23","57,53","14,38",,
12/3/21,17.30-21.30,2,"4,5",8,"26,1",4,"42,52","44,88","11,22",,
13/3/21,,,,,,,,,,,
14/3/21,18.30-22.30,2,7,9,"33,6",4,"41,6","47,49","11,87",,
15/3/21,17.00-21.00,9,"4,5",8,"37,1",4,"42,07","49,86","12,47",,
16/3/21,18.00-22.00,3,"4,8",9,"25,7",4,"43,12","47,21","11,8",,
17/3/21,17.00-21.00,4,"1,2",6,"32,6",4,40,"39,56","9,89",,
18/3/21,18.00-20.00,2,"3,5",5,"20,6",2,"20,79","24,9","12,45",,
19/3/21,18.00-20.00,"5,5",12,14,"31,7",4,"56,52","70,57","17,64",160,
20/3/21,,,,,,,,,,,
21/3/21,17.30-21.30,7,"5,1",11,"38,8",4,"47,72","55,67","13,92",,
22/3/21,18.30-20.30,0,6,4,"16,9",2,20,"24,47","12,24",,
23/3/21,17.30-21.30,4,"19,5",13,"30,6",4,"52,22","72,84","18,21",,
24/3/21,17.30-21.30,"3,5",3,11,"33,5",4,"44,91","48,77","12,19",,
25/3/21,"17,30-21.30",8,"4,5",7,"24,1",4,"42,7","48,77","12,19",,
26/3/21,17.30-21.30,3,5,9,"36,5",4,"42,79","47,15","11,79",,
27/3/21,,,,,,,,,,,
28/3/21,17.30-21.30,2,"4,5",10,"30,8",4,"46,1","49,22","12,31",,
